,0,1,2,3,4,5,6,7
32,-0.46744254,-0.5086278,-0.54981196,-0.59099543,-0.63217914,-0.7556928,-0.7955371,-0.81972414
33,-0.46334335,-0.5045272,-0.5457117,-0.58689624,-0.6280799,-0.75163275,-0.79168016,-0.817628
34,-0.45924723,-0.50043094,-0.5416154,-0.58280176,-0.62398505,-0.7475375,-0.7878124,-0.8155358
35,-0.4551587,-0.49634153,-0.5375274,-0.57871103,-0.6198956,-0.7434475,-0.7839445,-0.81344527
36,-0.4510737,-0.49225804,-0.5334415,-0.5746256,-0.61581093,-0.73936325,-0.78002423,-0.81135803
37,-0.4469946,-0.48817816,-0.5293629,-0.5705473,-0.6117316,-0.7352842,-0.77605563,-0.8092739
38,-0.44291994,-0.48410448,-0.525288,-0.56647325,-0.60765743,-0.73121053,-0.77209157,-0.80713373
39,-0.43885067,-0.48003548,-0.5212182,-0.5624049,-0.6035893,-0.7271422,-0.76813143,-0.8048683
40,-0.43478757,-0.47597,-0.5171558,-0.5583395,-0.5995249,-0.72307694,-0.76417786,-0.8023688
41,-0.43072897,-0.47191247,-0.513097,-0.55428207,-0.5954661,-0.71901923,-0.7602033,-0.7996429
42,-0.42667323,-0.46785963,-0.5090423,-0.55022675,-0.59141284,-0.71496385,-0.75614786,-0.7963401
43,-0.4226261,-0.46381027,-0.50499505,-0.54618,-0.58736354,-0.71091604,-0.75210124,-0.79255116
44,-0.41861048,-0.45976725,-0.50095105,-0.54213566,-0.5833205,-0.7068731,-0.7480579,-0.78863704
45,-0.41461992,-0.4557285,-0.49691305,-0.53809696,-0.5792813,-0.70283395,-0.7440182,-0.7847278
46,-0.4106361,-0.451696,-0.4928794,-0.53406346,-0.5752489,-0.6988017,-0.7399855,-0.7808159
47,-0.40665454,-0.44766858,-0.48885193,-0.5300352,-0.57121927,-0.69477254,-0.73595756,-0.7768972
48,-0.40275764,-0.44364482,-0.48482966,-0.5260134,-0.56719774,-0.69075173,-0.7319348,-0.7729822
49,-0.39897025,-0.43962634,-0.4808106,-0.52199507,-0.56317884,-0.6867322,-0.72791606,-0.76907337
50,-0.39518934,-0.43561378,-0.47679865,-0.5179821,-0.5591662,-0.68271905,-0.72390324,-0.7650878
51,-0.39144275,-0.43160477,-0.47278914,-0.51397336,-0.5551578,-0.6787104,-0.71989495,-0.7610796
52,-0.3877104,-0.42760146,-0.46878746,-0.50997096,-0.5511554,-0.67470914,-0.7158926,-0.75707734
53,-0.38397962,-0.42360434,-0.4647884,-0.50597394,-0.5471562,-0.6707106,-0.7118948,-0.7530806
54,-0.38025457,-0.4196535,-0.46079448,-0.50197923,-0.54316473,-0.6667155,-0.70790064,-0.7490852
55,-0.37653545,-0.41571367,-0.45680758,-0.4979922,-0.5391768,-0.6627296,-0.7039135,-0.745098
56,-0.3728189,-0.4117768,-0.45282397,-0.494008,-0.5351931,-0.658745,-0.69993025,-0.7411139
57,-0.36910978,-0.4078757,-0.44884676,-0.49003154,-0.53121424,-0.6547674,-0.69595313,-0.73713714
58,-0.36540172,-0.40413177,-0.44487184,-0.4860581,-0.5272412,-0.65079516,-0.6919793,-0.7331633
59,-0.3616999,-0.40039295,-0.44090447,-0.4820888,-0.5232735,-0.64682543,-0.68801063,-0.7291947
60,-0.358004,-0.39669076,-0.4369414,-0.47812462,-0.51930916,-0.64286196,-0.6840455,-0.72523165
61,-0.35431042,-0.39299795,-0.43298325,-0.47416654,-0.5153509,-0.63890386,-0.68008894,-0.7212736
