,0,1,2,3,4,5,6,7,8,9
34,-0.36899596,-0.40741464,-0.5302564,-0.5713674,-0.6124779,-0.6535882,-0.6946997,-0.81803083,-0.8591414,-0.89939487
35,-0.36606598,-0.40430173,-0.5270625,-0.5681734,-0.6092835,-0.6503938,-0.6915048,-0.8148364,-0.85594726,-0.8965945
36,-0.36313885,-0.40119115,-0.52387166,-0.56498235,-0.60609263,-0.6472031,-0.6883136,-0.81164634,-0.8527548,-0.893692
37,-0.36021698,-0.39808592,-0.5206854,-0.5617962,-0.6029073,-0.6440174,-0.6851277,-0.80845994,-0.8495693,-0.8906802
38,-0.35729763,-0.39511704,-0.5175027,-0.5586135,-0.59972346,-0.6408346,-0.6819448,-0.80527645,-0.84638804,-0.8874979
39,-0.3543821,-0.39220083,-0.51432365,-0.55543417,-0.59654534,-0.6376554,-0.6787658,-0.8020975,-0.8432083,-0.88431895
40,-0.3514712,-0.3892895,-0.51114947,-0.55225974,-0.5933703,-0.6344804,-0.6755926,-0.7989239,-0.84003466,-0.8811444
41,-0.3485618,-0.38638198,-0.5079791,-0.5490899,-0.59020007,-0.6313108,-0.67242104,-0.7957535,-0.8368639,-0.8779747
42,-0.34565815,-0.38347673,-0.5048113,-0.54592264,-0.5870328,-0.62814367,-0.66925395,-0.7925864,-0.833696,-0.8748077
43,-0.34275714,-0.38057658,-0.5016497,-0.54276013,-0.58387136,-0.624981,-0.66609126,-0.78942376,-0.8305346,-0.87164533
44,-0.33985984,-0.37767896,-0.49849135,-0.5396017,-0.5807122,-0.62182224,-0.6629335,-0.786265,-0.82737577,-0.86848634
45,-0.3369661,-0.3747859,-0.4953361,-0.5364472,-0.57755685,-0.61866677,-0.65977854,-0.78311044,-0.824221,-0.86533207
46,-0.33407632,-0.371896,-0.49218613,-0.5332961,-0.5744064,-0.61551803,-0.6566281,-0.77995896,-0.8210705,-0.8621803
47,-0.3311905,-0.36901042,-0.48903903,-0.5301491,-0.57125986,-0.61237097,-0.6534819,-0.77681357,-0.8179237,-0.85903424
48,-0.32830894,-0.36612806,-0.48589712,-0.5270071,-0.5681183,-0.6092285,-0.65033925,-0.77367157,-0.814782,-0.8558926
49,-0.32542884,-0.3632485,-0.48275718,-0.5238688,-0.5649795,-0.6060902,-0.6471998,-0.7705321,-0.81164175,-0.85275316
50,-0.32255405,-0.36037317,-0.4796224,-0.5207337,-0.56184363,-0.60295475,-0.64406604,-0.76739717,-0.80850756,-0.849618
