,0,1,2,3,4,5,6
21,-0.31907713,-0.3929778,-0.4668781,-0.54077834,-0.7624797,-0.8363801,-0.9102807
22,-0.316583,-0.39048377,-0.46438426,-0.5382845,-0.7599854,-0.8338856,-0.90778655
23,-0.314091,-0.3879919,-0.46189204,-0.53579277,-0.7574938,-0.83139527,-0.9052944
24,-0.3116033,-0.38550395,-0.459404,-0.5333052,-0.7550063,-0.82890666,-0.90280706
25,-0.30911836,-0.38301903,-0.4569194,-0.5308195,-0.7525209,-0.8264214,-0.90032244
26,-0.30663654,-0.38053697,-0.45443752,-0.52833784,-0.7500397,-0.8239396,-0.8978403
27,-0.30415782,-0.37805808,-0.45195928,-0.5258596,-0.7475608,-0.82146114,-0.89536196
28,-0.30168316,-0.37558433,-0.44948405,-0.5233842,-0.74508566,-0.8189862,-0.8928867
29,-0.29921073,-0.37311137,-0.4470115,-0.5209125,-0.74261373,-0.8165139,-0.8904138
30,-0.2967413,-0.37064156,-0.44454262,-0.5184425,-0.74014443,-0.81404436,-0.8879453
31,-0.29427683,-0.3681768,-0.44207743,-0.51597774,-0.7376785,-0.8115793,-0.88548034
32,-0.29181343,-0.3657142,-0.43961415,-0.5135146,-0.7352161,-0.8091165,-0.8830168
33,-0.28935426,-0.3632539,-0.4371551,-0.51105475,-0.73275656,-0.80665666,-0.8805576
34,-0.2868964,-0.3607972,-0.4346981,-0.5085989,-0.7302997,-0.8042002,-0.87810045
35,-0.28444394,-0.35834438,-0.4322448,-0.50614506,-0.72784686,-0.80174685,-0.87564737
36,-0.2819937,-0.35589448,-0.42979485,-0.5036954,-0.7253965,-0.79929715,-0.8731975
37,-0.27954748,-0.35344747,-0.42734817,-0.5012491,-0.72294927,-0.7968504,-0.87075067
38,-0.27710348,-0.3510041,-0.4249044,-0.4988046,-0.72050595,-0.79440653,-0.8683071
39,-0.27466196,-0.3485631,-0.4224635,-0.4963638,-0.71806425,-0.79196584,-0.86586523
40,-0.27222472,-0.3461257,-0.42002568,-0.4939256,-0.715628,-0.78952795,-0.8634286
41,-0.26979044,-0.34369108,-0.4175915,-0.4914915,-0.71319336,-0.78709334,-0.86099416
42,-0.26735795,-0.3412586,-0.41515926,-0.48905942,-0.7107604,-0.7846619,-0.858562
43,-0.26493037,-0.33883062,-0.41273066,-0.48663116,-0.70833313,-0.782233,-0.8561336
44,-0.26250425,-0.33640534,-0.4103056,-0.48420614,-0.705907,-0.77980804,-0.853708
45,-0.26008156,-0.33398214,-0.40788263,-0.48178333,-0.7034848,-0.77738494,-0.85128576
46,-0.2576634,-0.33156323,-0.40546346,-0.47936395,-0.70106566,-0.7749655,-0.8488664
47,-0.25524685,-0.32914743,-0.40304688,-0.4769482,-0.6986493,-0.7725492,-0.84644973
48,-0.2528339,-0.326735,-0.40063506,-0.47453526,-0.6962366,-0.77013713,-0.8440374
49,-0.25042355,-0.32432377,-0.3982241,-0.4721246,-0.6938254,-0.76772606,-0.8416265
50,-0.24801596,-0.3219161,-0.39581686,-0.46971717,-0.6914189,-0.7653191,-0.8392195
51,-0.24561115,-0.31951186,-0.39341232,-0.46731263,-0.68901455,-0.7629151,-0.836815
52,-0.24321127,-0.3171114,-0.3910108,-0.46491224,-0.686613,-0.7605145,-0.8344149
53,-0.24081273,-0.31471327,-0.38861418,-0.46251443,-0.684215,-0.75811625,-0.8320165
54,-0.23841701,-0.31231737,-0.38621777,-0.46011844,-0.6818191,-0.7557204,-0.82962066
55,-0.23602524,-0.30992597,-0.3838263,-0.45772678,-0.6794274,-0.75332844,-0.8272294
56,-0.23363565,-0.30753592,-0.3814369,-0.45533735,-0.6770384,-0.75093895,-0.8248397
57,-0.23124918,-0.30515006,-0.3790509,-0.45295092,-0.67465234,-0.748553,-0.8224532
58,-0.2288663,-0.3027675,-0.37666717,-0.45056778,-0.6722687,-0.7461696,-0.82007
59,-0.22648618,-0.30038613,-0.37428692,-0.44818655,-0.669888,-0.74378896,-0.8176891
