,0,1,2,3,4,5,6,7,8
70,-0.21169561,-0.30912894,-0.36934784,-0.42956668,-0.48978522,-0.5500046,-0.7306615,-0.7908804,-0.8510996
71,-0.21109554,-0.3076537,-0.36787257,-0.42809153,-0.48831078,-0.54852945,-0.7291862,-0.7894055,-0.84962445
72,-0.2104964,-0.30618057,-0.36639902,-0.4266179,-0.4868372,-0.5470562,-0.72771347,-0.78793216,-0.8481508
73,-0.20989783,-0.30470872,-0.36492786,-0.42514637,-0.48536596,-0.545585,-0.7262419,-0.7864609,-0.8466794
74,-0.2093002,-0.30323952,-0.36345854,-0.42367768,-0.48389643,-0.5441159,-0.7247723,-0.7849915,-0.8452107
75,-0.20870318,-0.3017717,-0.36199024,-0.4222096,-0.48242855,-0.5426475,-0.72330403,-0.7835239,-0.84374285
76,-0.20810679,-0.30030578,-0.3605246,-0.4207436,-0.48096302,-0.5411815,-0.72183853,-0.7820574,-0.8422763
77,-0.20751107,-0.29884094,-0.35906017,-0.41927865,-0.4794978,-0.5397169,-0.7203743,-0.7805925,-0.8408115
78,-0.20691638,-0.2973793,-0.35759777,-0.41781712,-0.47803524,-0.5382546,-0.7189118,-0.77913076,-0.83934927
79,-0.20632245,-0.29591796,-0.3561373,-0.416356,-0.4765748,-0.5367943,-0.7174512,-0.7776699,-0.837889
80,-0.205729,-0.29445964,-0.35467812,-0.41489708,-0.47511628,-0.5353356,-0.7159919,-0.7762112,-0.8364299
81,-0.20513578,-0.29300156,-0.3532202,-0.41343978,-0.4736584,-0.53387773,-0.71453464,-0.7747536,-0.8349717
82,-0.20454419,-0.29154587,-0.35176536,-0.41198426,-0.47220334,-0.53242224,-0.7130789,-0.77329826,-0.8335171
83,-0.20395277,-0.2900925,-0.35031193,-0.41053075,-0.47074994,-0.5309684,-0.7116257,-0.7718443,-0.83206326
84,-0.20336236,-0.28864095,-0.34885997,-0.40907884,-0.46929783,-0.52951664,-0.7101729,-0.7703923,-0.8306116
85,-0.20277235,-0.2871906,-0.34740955,-0.40762836,-0.46784735,-0.52806646,-0.7087231,-0.76894224,-0.82916117
86,-0.20218328,-0.2857416,-0.34596106,-0.40617996,-0.4663989,-0.526618,-0.7072745,-0.7674936,-0.82771224
87,-0.20159493,-0.28429577,-0.34451425,-0.4047331,-0.46495232,-0.5251712,-0.7058285,-0.7660468,-0.82626575
88,-0.20099777,-0.28285012,-0.34306896,-0.40328822,-0.46350753,-0.52372575,-0.70438313,-0.76460177,-0.824821
89,-0.20039973,-0.28160343,-0.34162644,-0.4018447,-0.46206427,-0.5222833,-0.7029401,-0.76315844,-0.8233776
90,-0.19980209,-0.28046095,-0.34018418,-0.40040347,-0.46062204,-0.52084124,-0.70149803,-0.7617171,-0.8219358
91,-0.19920562,-0.27934068,-0.33874443,-0.39896396,-0.45918268,-0.51940125,-0.7000582,-0.7602776,-0.820496
92,-0.19860953,-0.27826232,-0.3373061,-0.39752483,-0.45774415,-0.517963,-0.6986204,-0.75883865,-0.8190578
93,-0.19801416,-0.27730235,-0.3358694,-0.39608893,-0.45630768,-0.5165265,-0.6971834,-0.75740206,-0.8176216
94,-0.1974197,-0.27634352,-0.33443514,-0.39465424,-0.45487243,-0.5150915,-0.69574827,-0.75596803,-0.81618696
95,-0.1968259,-0.27553675,-0.3330022,-0.39322084,-0.45344022,-0.5136589,-0.69431585,-0.7545348,-0.8147539
96,-0.19623259,-0.2748861,-0.33157063,-0.39178944,-0.4520082,-0.512227,-0.69288415,-0.7531032,-0.81332237
97,-0.19564015,-0.27423623,-0.33014143,-0.39035997,-0.45057863,-0.5107977,-0.69145447,-0.7516741,-0.8118922
98,-0.19504821,-0.27358714,-0.32871258,-0.38893187,-0.44915065,-0.5093694,-0.6900266,-0.7502458,-0.8104645
99,-0.19445741,-0.27293918,-0.3272866,-0.387506,-0.44772488,-0.50794387,-0.68860036,-0.7488197,-0.8090383
100,-0.19386685,-0.2722918,-0.32586172,-0.38608092,-0.44629994,-0.5065192,-0.68717533,-0.747395,-0.8076136
