,0,1,2,3,4,5
62,-0.3237484,-0.38591325,-0.44894484,-0.6431745,-0.72910255,-0.8150302
63,-0.32216725,-0.38383886,-0.44686994,-0.640238,-0.72616637,-0.8120929
64,-0.32077727,-0.381767,-0.4447986,-0.6373038,-0.7232318,-0.80915874
65,-0.31951118,-0.37969843,-0.44272995,-0.6343739,-0.7203036,-0.80623055
66,-0.31831855,-0.37763214,-0.44066304,-0.6314829,-0.7173759,-0.80330396
67,-0.31712848,-0.37556788,-0.4385988,-0.62875086,-0.7144541,-0.80038136
68,-0.31593886,-0.37350574,-0.4365371,-0.6261114,-0.71153384,-0.7974619
69,-0.3147512,-0.37144682,-0.43447757,-0.6237589,-0.70861834,-0.7945461
70,-0.31356514,-0.36939108,-0.43242186,-0.6215429,-0.70570654,-0.7916344
71,-0.3123802,-0.36733645,-0.4303672,-0.6194615,-0.7027971,-0.7887259
72,-0.31119695,-0.3652851,-0.42831585,-0.61740935,-0.69989365,-0.78582114
73,-0.31001484,-0.36323518,-0.42626712,-0.61536026,-0.69699097,-0.7829192
74,-0.30883464,-0.36118942,-0.42422023,-0.61331415,-0.6940937,-0.7800226
75,-0.30765563,-0.35914487,-0.4221762,-0.61126995,-0.6911989,-0.777127
76,-0.3064783,-0.35710388,-0.42013478,-0.60922843,-0.6883089,-0.7742359
77,-0.30538085,-0.3550635,-0.41809517,-0.6071893,-0.6854213,-0.77134836
78,-0.3043267,-0.3530273,-0.41605896,-0.60515255,-0.6825374,-0.7684649
79,-0.30327362,-0.35099328,-0.41402528,-0.6031185,-0.6796578,-0.76558536
80,-0.3022219,-0.34896207,-0.411993,-0.6010871,-0.6767803,-0.7627086
81,-0.301171,-0.34693167,-0.4099636,-0.5990572,-0.67390543,-0.75983363
82,-0.30012175,-0.34490496,-0.40793657,-0.59703034,-0.6710363,-0.7569635
83,-0.29907364,-0.3428803,-0.4059121,-0.59500587,-0.6681705,-0.7540977
84,-0.29802662,-0.34085906,-0.4038904,-0.5929839,-0.66530627,-0.7512347
85,-0.29698172,-0.3388393,-0.40187106,-0.59096456,-0.66244704,-0.7483753
86,-0.29593712,-0.33682236,-0.39985347,-0.5889478,-0.65959126,-0.74551845
87,-0.2948941,-0.3348078,-0.39783904,-0.5869327,-0.6567382,-0.74266535
88,-0.29385248,-0.33279538,-0.3958265,-0.58491987,-0.65388924,-0.73981714
89,-0.29281172,-0.3307856,-0.39381632,-0.58291024,-0.6510429,-0.7369706
90,-0.29177243,-0.3287774,-0.39180917,-0.5809027,-0.6482003,-0.7341284
91,-0.2907342,-0.32677355,-0.38980463,-0.5788978,-0.6454559,-0.7312897
92,-0.2896972,-0.32491237,-0.3878004,-0.5768944,-0.64280415,-0.7284517
93,-0.2886618,-0.32320106,-0.3858003,-0.57489455,-0.6401561,-0.72561985
94,-0.28762758,-0.32180944,-0.38380265,-0.5728963,-0.6375114,-0.72279125
95,-0.28659457,-0.32055664,-0.381807,-0.5709011,-0.63515145,-0.71996605
96,-0.28556225,-0.31939745,-0.37981308,-0.5689066,-0.6328728,-0.7171414
97,-0.28453168,-0.31824937,-0.3778228,-0.5669163,-0.6305991,-0.71432436
98,-0.28350177,-0.31710202,-0.37583405,-0.5649273,-0.6283557,-0.71150696
99,-0.28247383,-0.31595674,-0.37384778,-0.5629414,-0.6262056,-0.7086952
100,-0.28144678,-0.31481227,-0.37186357,-0.5609569,-0.624056,-0.70588565
