,0,1,2,3,4,5
73,0.973346,0.9730289,0.97271305,0.97176254,0.9714462,0.97112906
74,0.97623056,0.9759137,0.9755971,0.97464705,0.97433007,0.97401434
75,0.979113,0.97879606,0.9784789,0.97752964,0.9772122,0.9768971
76,0.9819902,0.9816729,0.98135704,0.9804059,0.9800901,0.97977406
77,0.9848654,0.9845497,0.98423207,0.9832826,0.9829648,0.98264897
78,0.9877356,0.98741955,0.9871028,0.9861529,0.9858366,0.98551995
79,0.9906039,0.9902868,0.98997056,0.9890207,0.9887041,0.9883883
80,0.9934681,0.9931509,0.9928349,0.9918853,0.9915685,0.99125165
81,0.9963291,0.99601305,0.9956964,0.9947469,0.99442947,0.9941134
82,0.9991869,0.9988703,0.99855375,0.99760336,0.99728686,0.9969706
83,1.0020409,1.001724,1.0014075,1.0004575,1.0001404,0.99982464
