,0,1,2,3,4,5,6,7,8,9,10
21,-0.31692347,-0.49751332,-0.66333324,-1.0158945,-1.0933241,-1.1708517,-1.2484736,-1.328369,-1.5696695,-1.6445702,-1.7154713
22,-0.31489155,-0.4952033,-0.66102326,-1.0148991,-1.0923287,-1.1698542,-1.247486,-1.3273126,-1.5686538,-1.6436837,-1.7145854
23,-0.3128621,-0.4928946,-0.65871507,-1.0139049,-1.0913342,-1.1688577,-1.2464991,-1.3262569,-1.5676391,-1.6427988,-1.7136996
24,-0.31083527,-0.49059072,-0.65641075,-1.0129117,-1.0903413,-1.1678625,-1.2455139,-1.3252031,-1.5666258,-1.6419147,-1.712816
25,-0.3088117,-0.4882885,-0.6541089,-1.0119202,-1.0893494,-1.1668689,-1.2445297,-1.3241508,-1.5656143,-1.6410317,-1.7119329
26,-0.30678996,-0.48598948,-0.6518101,-1.0109298,-1.0883592,-1.1658764,-1.2435466,-1.3230991,-1.5646037,-1.6401498,-1.7110517
27,-0.30477053,-0.4836935,-0.64951426,-1.0099406,-1.0873698,-1.1648848,-1.2425656,-1.3220493,-1.5635942,-1.6392691,-1.7101705
28,-0.30275533,-0.4814013,-0.6472208,-1.0089527,-1.086382,-1.1638948,-1.241585,-1.321001,-1.5625865,-1.63839,-1.709291
29,-0.30074093,-0.47911137,-0.6449313,-1.007966,-1.0853959,-1.1629059,-1.2406062,-1.3199536,-1.5615801,-1.6375114,-1.7084126
30,-0.29872936,-0.47682384,-0.64264363,-1.0069805,-1.08441,-1.1619186,-1.2396286,-1.3189076,-1.5605747,-1.6366343,-1.7075355
31,-0.29672182,-0.47454,-0.6403603,-1.0059968,-1.0834261,-1.1609323,-1.2386522,-1.3178635,-1.5595707,-1.6357583,-1.7066592
32,-0.29471517,-0.47225872,-0.6380789,-1.005014,-1.0824428,-1.1599475,-1.2376764,-1.31682,-1.5585685,-1.6348827,-1.7057842
33,-0.2927119,-0.46998042,-0.6358003,-1.0040318,-1.0814618,-1.1589638,-1.2366923,-1.3157778,-1.5575663,-1.6340091,-1.7049104
34,-0.29071036,-0.4677048,-0.6335248,-1.0030519,-1.0804814,-1.1579808,-1.2357073,-1.3147372,-1.556566,-1.6331363,-1.7040373
35,-0.2887126,-0.46543217,-0.6312529,-1.002073,-1.0795026,-1.157,-1.2347242,-1.3136983,-1.555567,-1.632265,-1.7031657
36,-0.28671637,-0.4631632,-0.6289835,-1.0010948,-1.0785244,-1.1560198,-1.2337413,-1.3126602,-1.5545698,-1.6313939,-1.7022954
37,-0.28472403,-0.4608966,-0.6267163,-1.0001185,-1.077548,-1.1550413,-1.2327602,-1.3116237,-1.5535736,-1.6305243,-1.7014261
38,-0.28273273,-0.45863283,-0.6244529,-0.99914306,-1.0765723,-1.1540636,-1.2317808,-1.3105886,-1.5525786,-1.6296564,-1.7005578
39,-0.28074506,-0.45637152,-0.6221919,-0.998169,-1.0755982,-1.1530876,-1.2308013,-1.3095543,-1.5515841,-1.6287894,-1.6996906
40,-0.2787593,-0.45411402,-0.61993355,-0.99719626,-1.0746255,-1.1521127,-1.2298236,-1.308522,-1.5505921,-1.6278622,-1.6988246
41,-0.27677676,-0.4518584,-0.6176788,-0.99622464,-1.073654,-1.1511389,-1.2288479,-1.3074906,-1.5496007,-1.6269019,-1.6979591
42,-0.27479532,-0.44960615,-0.61542577,-0.99525404,-1.0726835,-1.1501663,-1.2278731,-1.3064605,-1.5486104,-1.625942,-1.6970953
43,-0.27281705,-0.4473566,-0.61317736,-0.9942846,-1.0717143,-1.1491946,-1.2268989,-1.3054315,-1.5476217,-1.6249834,-1.6962326
44,-0.27084213,-0.44510943,-0.61092997,-0.9933168,-1.0707463,-1.148225,-1.2259266,-1.3044046,-1.5466342,-1.6240269,-1.6953706
45,-0.26886788,-0.44286615,-0.60868627,-0.99235034,-1.0697795,-1.1472559,-1.2249548,-1.3033781,-1.5456477,-1.6230701,-1.69451
46,-0.26689768,-0.44062504,-0.6064442,-0.9913844,-1.0688139,-1.1462884,-1.2239858,-1.3023536,-1.5446626,-1.6221157,-1.6936505
47,-0.26492944,-0.4383864,-0.6042067,-0.9904199,-1.0678498,-1.145322,-1.2230167,-1.3013297,-1.5436788,-1.6211623,-1.6927919
48,-0.2629642,-0.43615183,-0.6019722,-0.9894573,-1.0668868,-1.144357,-1.2220491,-1.300308,-1.5426964,-1.6202099,-1.6919346
49,-0.2610006,-0.4339186,-0.599739,-0.98849535,-1.0659242,-1.1433928,-1.2210823,-1.2992865,-1.5417143,-1.6192584,-1.6910775
50,-0.25903937,-0.431689,-0.5975094,-0.98753434,-1.064964,-1.1424297,-1.2201171,-1.2982666,-1.5407345,-1.6183085,-1.6902227
51,-0.2570814,-0.4294617,-0.59528226,-0.98657507,-1.0640045,-1.1414682,-1.2191532,-1.2972482,-1.539756,-1.6173595,-1.6893684
52,-0.2551259,-0.42723772,-0.59305817,-0.98561686,-1.063046,-1.1405083,-1.2181907,-1.2962314,-1.5387781,-1.6164123,-1.6885154
53,-0.25317284,-0.42501682,-0.59083694,-0.98465985,-1.0620894,-1.139549,-1.2172291,-1.2952158,-1.5378014,-1.6154658,-1.687663
54,-0.25122082,-0.4227966,-0.58861756,-0.983704,-1.0611327,-1.1385906,-1.2162676,-1.2942007,-1.5368259,-1.6145201,-1.686812
55,-0.24927275,-0.42058206,-0.5864021,-0.9827492,-1.0601783,-1.1376344,-1.2153093,-1.2931876,-1.5358526,-1.613576,-1.6859622
56,-0.24732634,-0.41836822,-0.5841885,-0.9817952,-1.0592247,-1.136678,-1.214351,-1.2921752,-1.5348794,-1.612633,-1.685113
