,0,1,2,3,4,5,6,7,8
49,-0.30112967,-0.41580597,-0.45599085,-0.50064975,-0.5453088,-0.5899686,-0.7239461,-0.768605,-0.81326425
50,-0.29751316,-0.41218993,-0.45207417,-0.4964253,-0.541084,-0.5857424,-0.71972036,-0.7643797,-0.8090397
51,-0.29390073,-0.40857735,-0.44821653,-0.49220353,-0.5368627,-0.58152145,-0.7154999,-0.7601594,-0.8048187
52,-0.29029348,-0.40496996,-0.44436434,-0.48798925,-0.53264827,-0.57730746,-0.7112861,-0.75594497,-0.8006053
53,-0.28669047,-0.40136707,-0.44051713,-0.48378038,-0.52843976,-0.5730986,-0.7070771,-0.7517355,-0.7963941
54,-0.28309134,-0.3977679,-0.4366731,-0.4795745,-0.5242333,-0.568892,-0.7028704,-0.7475303,-0.79218906
55,-0.27949867,-0.39417478,-0.43283603,-0.47537664,-0.52003545,-0.56469476,-0.6986723,-0.74333125,-0.7879914
56,-0.27590668,-0.39058393,-0.42900193,-0.47118127,-0.51584023,-0.56050026,-0.6944765,-0.7391364,-0.783796
57,-0.27232206,-0.38699922,-0.42525274,-0.4669936,-0.5116524,-0.55631137,-0.69028884,-0.7349484,-0.77960783
58,-0.2687416,-0.38341865,-0.4216435,-0.46280858,-0.5074684,-0.55212754,-0.686105,-0.730765,-0.7754245
59,-0.26516405,-0.37984177,-0.41806734,-0.4586308,-0.5032894,-0.54794896,-0.681927,-0.7265862,-0.77124536
60,-0.26159263,-0.37626842,-0.414494,-0.4544558,-0.4991154,-0.54377496,-0.6777523,-0.72241217,-0.76707125
61,-0.25802526,-0.3727022,-0.41092753,-0.45039642,-0.49494842,-0.53960764,-0.67358506,-0.7182444,-0.76290387
62,-0.25446212,-0.36913916,-0.40736347,-0.44659021,-0.49078482,-0.53544295,-0.6694213,-0.71408063,-0.7587404
63,-0.25090277,-0.36557937,-0.40380386,-0.44279054,-0.4866275,-0.531285,-0.665263,-0.7099225,-0.7545816
64,-0.24734798,-0.362024,-0.40025026,-0.43899444,-0.48247236,-0.5271327,-0.6611106,-0.705769,-0.75042963
65,-0.24379937,-0.35847625,-0.39670053,-0.43520364,-0.47832665,-0.52298576,-0.6569633,-0.7016229,-0.7462827
66,-0.24025321,-0.35492948,-0.39315602,-0.43144572,-0.47418293,-0.5188427,-0.65282005,-0.6974799,-0.74213934
67,-0.2367124,-0.35138837,-0.38961366,-0.4278429,-0.4700469,-0.5147056,-0.64868295,-0.693343,-0.7380026
68,-0.23317431,-0.34785086,-0.38607603,-0.42430133,-0.46591207,-0.5105712,-0.64454925,-0.6892095,-0.7338677
69,-0.22964154,-0.3443187,-0.38254362,-0.4207695,-0.4617855,-0.50644505,-0.6404235,-0.6850824,-0.72974044
70,-0.2261134,-0.34078953,-0.3790153,-0.41724086,-0.45766315,-0.5023227,-0.63630015,-0.6809598,-0.72561914
71,-0.22258916,-0.33726555,-0.37549114,-0.41371664,-0.45354617,-0.49820566,-0.6321826,-0.6768425,-0.72150165
72,-0.21906896,-0.33374465,-0.37197077,-0.41019607,-0.44943306,-0.4940917,-0.62806994,-0.67273027,-0.71738946
73,-0.21555324,-0.33023,-0.36845553,-0.40668076,-0.44553062,-0.48998395,-0.6239625,-0.66862226,-0.71328175
74,-0.21204336,-0.32671916,-0.36494496,-0.40317124,-0.441783,-0.48588327,-0.6198609,-0.6645199,-0.7091782
75,-0.20853499,-0.3232119,-0.36143705,-0.39966258,-0.4380482,-0.48178443,-0.61576414,-0.66042256,-0.70508164
