,0,1,2,3,4,5,6,7,8,9
25,-0.22511214,-0.27165183,-0.38215643,-0.43904603,-0.49695572,-0.55486584,-0.6127754,-0.7708415,-0.82265985,-0.87447864
26,-0.22430634,-0.27086672,-0.38114026,-0.43799207,-0.49590117,-0.55381167,-0.6117213,-0.7698984,-0.82171726,-0.8735356
27,-0.22350155,-0.27008268,-0.38012487,-0.43693864,-0.49484858,-0.5527586,-0.6106684,-0.7689564,-0.82077515,-0.87259364
28,-0.22269788,-0.26929936,-0.37911123,-0.43588734,-0.49379745,-0.5517071,-0.6096168,-0.7680158,-0.81983435,-0.87165326
29,-0.22189537,-0.268504,-0.3781672,-0.43483713,-0.49274695,-0.55065674,-0.60856634,-0.76707625,-0.8188949,-0.8707139
30,-0.22109336,-0.2677021,-0.37731552,-0.4337878,-0.49169797,-0.54960763,-0.6075173,-0.7661379,-0.8179567,-0.8697752
31,-0.22029322,-0.26690173,-0.37652665,-0.4327409,-0.49065086,-0.54856026,-0.60647017,-0.76520133,-0.81701976,-0.86883855
32,-0.21949323,-0.26610193,-0.375738,-0.43169406,-0.48960426,-0.54751366,-0.60542417,-0.76426554,-0.81608427,-0.8679026
33,-0.21869494,-0.26530322,-0.37495112,-0.4306494,-0.48855913,-0.5464689,-0.6043787,-0.763331,-0.81514925,-0.86696804
34,-0.21789722,-0.26450565,-0.37416422,-0.42960557,-0.48751563,-0.5454253,-0.6033351,-0.76239717,-0.81421584,-0.8660344
35,-0.21710064,-0.2637094,-0.37337956,-0.42856395,-0.4864738,-0.5443834,-0.6022932,-0.761465,-0.8132835,-0.86510205
36,-0.2163053,-0.26291388,-0.37259477,-0.42752278,-0.4854326,-0.5433424,-0.60125214,-0.76053387,-0.81235284,-0.86417085
37,-0.21551067,-0.26211938,-0.37181202,-0.4264838,-0.48439294,-0.54230297,-0.60021293,-0.7596042,-0.8114231,-0.8632412
38,-0.21471736,-0.2613257,-0.37102965,-0.42544508,-0.48335493,-0.54126483,-0.5991745,-0.7586759,-0.81049407,-0.8623125
39,-0.21392472,-0.26053342,-0.37024838,-0.42440805,-0.48231784,-0.5402279,-0.59813744,-0.7577484,-0.8095666,-0.8613851
40,-0.21313336,-0.2597418,-0.36946794,-0.42337245,-0.4812821,-0.5391924,-0.597102,-0.7568219,-0.8086406,-0.86045915
41,-0.21234304,-0.2589512,-0.36868888,-0.42233816,-0.48024783,-0.5381582,-0.5960677,-0.75589657,-0.8077152,-0.85953367
42,-0.21155326,-0.25816187,-0.36791018,-0.4213053,-0.47921488,-0.5371245,-0.5950348,-0.75497246,-0.80679125,-0.8586099
43,-0.21076478,-0.25737324,-0.3671328,-0.4202736,-0.47818348,-0.53609306,-0.5940031,-0.75404996,-0.80586845,-0.857687
44,-0.20997754,-0.25658572,-0.36635625,-0.41924313,-0.4771528,-0.5350626,-0.59297234,-0.753128,-0.80494666,-0.85676545
45,-0.20919053,-0.25579938,-0.3655809,-0.4182137,-0.47612348,-0.53403354,-0.5919434,-0.7522075,-0.80402595,-0.8558447
46,-0.20840524,-0.2550137,-0.36480683,-0.41718608,-0.47509596,-0.53300595,-0.59091556,-0.75128824,-0.8031069,-0.85492545
47,-0.20762055,-0.25422928,-0.3640668,-0.4161596,-0.47406915,-0.5319794,-0.589889,-0.7503699,-0.8021888,-0.85400724
