,0,1,2,3,4,5,6,7,8,9,10
20,0.11127249,0.10929908,0.10732346,0.10139869,0.099425286,0.09745099,0.0954759,0.09350112,0.08757819,0.08560282,0.08362973
21,0.12587585,0.12389984,0.12192796,0.116001256,0.11402802,0.11205307,0.11007859,0.108104356,0.10217985,0.1002054,0.09822906
22,0.14045775,0.13848338,0.1365066,0.13058312,0.1286101,0.12663256,0.124658905,0.12268472,0.116759,0.11478566,0.11281092
23,0.15502475,0.15304755,0.1510731,0.14514878,0.1431741,0.14120099,0.13922442,0.13725044,0.13132748,0.1293497,0.12737554
24,0.16956826,0.1675904,0.16561493,0.15969193,0.15771769,0.15574329,0.15376785,0.15179099,0.14586852,0.14389433,0.14192024
25,0.18409248,0.18211891,0.18014258,0.17421855,0.17224327,0.17027065,0.1682952,0.1663205,0.16039751,0.15842314,0.15644817
26,0.19859986,0.19662474,0.19465126,0.18872558,0.18675184,0.18477559,0.18280147,0.1808276,0.17490345,0.17292479,0.17095377
27,0.21309006,0.21111357,0.20913924,0.20321526,0.20124123,0.19926848,0.19729151,0.19531749,0.18939118,0.1874166,0.18544392
28,0.22755839,0.22558264,0.22360757,0.21768512,0.2157081,0.21373442,0.21176086,0.20978612,0.20386092,0.20188743,0.19991133
29,0.24200886,0.2400359,0.23805983,0.23213702,0.23016156,0.22818676,0.22621147,0.22423834,0.21831338,0.21633944,0.21436308
30,0.25644624,0.2544728,0.25249693,0.24657133,0.24459864,0.24262396,0.24064659,0.23867315,0.23274693,0.230776,0.22879796
31,0.27085555,0.26888052,0.26690808,0.26098272,0.25900915,0.25703168,0.25505707,0.25308523,0.24715807,0.24518555,0.24320932
32,0.28525615,0.28327978,0.2813033,0.27538037,0.27340686,0.27143022,0.26945767,0.26748365,0.26155895,0.25958484,0.25761026
33,0.29963294,0.29765642,0.29568234,0.28975752,0.28778395,0.28580886,0.28383502,0.281861,0.27593535,0.27396128,0.27198735
34,0.3139924,0.31201723,0.31004187,0.30411902,0.30214444,0.30017048,0.2981947,0.29622108,0.29029348,0.28832316,0.28634766
