,0,1,2,3,4,5,6,7,8,9,10
32,-0.2849118,-0.32859805,-0.37228417,-0.5033431,-0.54702955,-0.59071606,-0.6344022,-0.67808926,-0.8091478,-0.8528335,-0.8948695
33,-0.28204852,-0.3257314,-0.3694182,-0.50047696,-0.5441622,-0.5878498,-0.6315359,-0.6752213,-0.806281,-0.8499667,-0.89230406
34,-0.27922896,-0.32286733,-0.36655384,-0.49761325,-0.5412996,-0.5849857,-0.6286723,-0.6723581,-0.8034176,-0.8471034,-0.88973343
35,-0.2764122,-0.32000783,-0.3636944,-0.49475372,-0.53844035,-0.5821269,-0.62581277,-0.66949886,-0.80055785,-0.8442447,-0.8871152
36,-0.27359965,-0.31715205,-0.36083883,-0.4918977,-0.53558403,-0.57927024,-0.62295634,-0.6666435,-0.7977021,-0.84138805,-0.88449866
37,-0.27079034,-0.3143004,-0.35798723,-0.48904526,-0.53273207,-0.5764183,-0.620105,-0.66379154,-0.79485077,-0.8385357,-0.8818872
38,-0.26798466,-0.31145212,-0.3551386,-0.48619702,-0.5298838,-0.5735698,-0.6172567,-0.6609427,-0.79200125,-0.83568764,-0.8792368
39,-0.26518294,-0.30860725,-0.35229304,-0.4833514,-0.5270376,-0.5707241,-0.61441106,-0.65809727,-0.78915596,-0.8328417,-0.87652856
40,-0.26238433,-0.30576628,-0.3494519,-0.4805107,-0.52419776,-0.56788397,-0.6115697,-0.6552558,-0.7863153,-0.8300017,-0.8736878
41,-0.25958884,-0.3029276,-0.3466141,-0.4776728,-0.5213591,-0.56504536,-0.60873175,-0.6524183,-0.78347707,-0.82716334,-0.87085
42,-0.2567966,-0.3000927,-0.3437792,-0.47483853,-0.5185242,-0.56221074,-0.60589755,-0.64958286,-0.78064317,-0.82432944,-0.86801547
43,-0.25400987,-0.29726264,-0.34094897,-0.47200808,-0.51569474,-0.55938023,-0.60306716,-0.6467532,-0.77781206,-0.8214985,-0.86518437
44,-0.25122568,-0.29443532,-0.33812168,-0.46918094,-0.5128676,-0.55655324,-0.6002394,-0.6439254,-0.7749849,-0.8186714,-0.862357
45,-0.24844432,-0.29161152,-0.33529747,-0.4663564,-0.510043,-0.55372936,-0.5974157,-0.64110196,-0.7721612,-0.81584805,-0.8595342
46,-0.24566685,-0.288792,-0.33247876,-0.4635363,-0.50722337,-0.55090934,-0.5945961,-0.6382826,-0.7693412,-0.81302786,-0.85671353
47,-0.24289283,-0.28597516,-0.3296611,-0.46072096,-0.50440687,-0.5480934,-0.59177977,-0.63546586,-0.76652485,-0.8102113,-0.8538973
48,-0.24012274,-0.2831915,-0.32684913,-0.4579086,-0.5015947,-0.54528105,-0.58896685,-0.63265324,-0.7637119,-0.8073987,-0.8510855
49,-0.2373554,-0.28042328,-0.32403877,-0.45509773,-0.49878424,-0.54247135,-0.58615774,-0.6298439,-0.7609022,-0.8045883,-0.84827596
50,-0.23459212,-0.27766043,-0.32123393,-0.45229226,-0.4959784,-0.5396651,-0.5833515,-0.6270374,-0.75809634,-0.8017835,-0.84546936
51,-0.23183101,-0.27490008,-0.31843114,-0.44948983,-0.49317586,-0.536863,-0.58054864,-0.62423533,-0.7552934,-0.79898053,-0.84266615
52,-0.22907472,-0.2721433,-0.3156322,-0.44669157,-0.49037787,-0.5340639,-0.5777504,-0.62143683,-0.7524958,-0.79618233,-0.8398684
53,-0.22632246,-0.26939103,-0.31283784,-0.44389704,-0.48758262,-0.5312689,-0.57495534,-0.61864203,-0.7497003,-0.7933873,-0.8370735
54,-0.22357102,-0.26664045,-0.31004447,-0.44110373,-0.48478997,-0.5284763,-0.5721622,-0.61584914,-0.7469077,-0.79059386,-0.8342803
55,-0.22082543,-0.2638945,-0.3072565,-0.4383159,-0.48200303,-0.52568823,-0.56937444,-0.6130613,-0.74412006,-0.78780663,-0.8314921
56,-0.21808207,-0.26115137,-0.3044719,-0.43553093,-0.4792166,-0.5229028,-0.56658906,-0.61027557,-0.74133474,-0.78502107,-0.82870674
57,-0.21534298,-0.25841177,-0.30169055,-0.4327493,-0.47643548,-0.520122,-0.56380826,-0.6074947,-0.7385538,-0.78223974,-0.82592565
58,-0.21260744,-0.25567588,-0.29891297,-0.42997086,-0.47365752,-0.51734364,-0.56103086,-0.60471636,-0.7357756,-0.77946156,-0.8231486
59,-0.20987459,-0.25294298,-0.29613787,-0.42719647,-0.47088268,-0.51456904,-0.55825585,-0.6019413,-0.733001,-0.7766874,-0.8203728
